id,name,description,picture_url,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,reviews_per_month,region,cleaned_name
275343,10min walk to MRT & a Cozy Room with window!,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br />Near Queensway, Alexandra, NUS, NUH.",https://a0.muscache.com/pictures/miso/Hosting-275343/original/abbb6837-808c-437e-9835-0e7bb621a4e7.png,Bukit Merah,1.29015,103.80814,Private room in rental unit,Private room,1,2 shared baths,1,1,50,180,20,4.4,4.16,4.26,4.47,4.42,4.53,4.63,TRUE,FALSE,within an hour,100%,99%,0.14,Central Region,Bukit Merah private room
275344,15 mins to Outram MRT Single Room,Lovely home for the special guest !,https://a0.muscache.com/pictures/miso/Hosting-275344/original/b5512506-bba5-4643-b8b9-e4bfec29dd12.png,Bukit Merah,1.28836,103.81144,Private room in rental unit,Private room,1,2.5 shared baths,1,1,50,180,16,4.27,4.44,4.06,4.5,4.5,4.63,4.13,TRUE,FALSE,within an hour,100%,99%,0.1,Central Region,Outram
294281,5 mins walk from Newton MRT,I have 3 bedrooms  in a charming British style townhouse for you and your family while you are visiting Singapore . This is the GREEN ROOM .<br />https://www.airbnb.co.uk/rooms/294281 <br /> Be sure to look at the other 2 rooms .<br /><br />BURGUNDY ROOM(https://www.airbnb.co.uk/rooms/369141   )<br />BLUE ROOM (https://www.airbnb.co.uk/rooms/369145),https://a0.muscache.com/pictures/4607862/87f42d40_original.jpg,Newton,1.31142,103.83924,Private room in rental unit,Private room,2,1 shared bath,2,1,85,92,131,4.43,4.33,4.16,4.5,4.66,4.52,4.39,FALSE,FALSE,within an hour,100%,,0.83,Central Region,from Newton
324945,Comfortable Room w/study area @ Redhill MRT!,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, great environment, and great host!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br /><br />Near Queensway, Alexandra, NUS, NUH.",https://a0.muscache.com/pictures/f8c7598c-a0b1-4dfa-85c1-b8aaf189c62f.jpg,Bukit Merah,1.28828,103.8102,Private room in rental unit,Private room,1,2 shared baths,1,1,67,180,17,3.5,3.47,3.94,4.53,4.06,3.82,3.76,FALSE,FALSE,within an hour,100%,99%,0.11,Central Region,Bukit Merah private room
330095,Relaxing Mini Room near Redhill MRT - NO window,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, Orange no window room, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate). <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT Near Queensway, NUS, NUH.",https://a0.muscache.com/pictures/miso/Hosting-330095/original/10be956b-3a04-4265-b7af-4b354390edd5.png,Bukit Merah,1.28636,103.81138,Private room in rental unit,Private room,1,2 shared baths,1,1,45,180,5,3.8,3.8,4,4.2,4.8,3.8,4,TRUE,FALSE,within an hour,100%,99%,0.04,Central Region,Bukit Merah private room
344803,Budget short stay room near EXPO,"Direct bus 24 from airport to this place.Walking distance to expo,downtown line3 and east west line(green line)",https://a0.muscache.com/pictures/4240c88e-4dc2-4204-bc2d-a44d9c4cf4b2.jpg,Tampines,1.34917,103.9609,Private room in home,Private room,1,1.5 shared baths,1,1,48,92,60,4.6,4.59,4.46,4.76,4.58,4.66,4.44,TRUE,FALSE,within a few hours,100%,100%,0.39,East Region,Budget short stay room
369141,5 mins from Newton MRT,A room in a charming British style townhouse for you and your family while you are visiting Singapore .,https://a0.muscache.com/pictures/21784952/12aacf76_original.jpg,Newton,1.31144,103.83784,Private room,Private room,2,1 bath,1,1,79,92,81,4.43,4.45,4.41,4.71,4.76,4.64,4.55,FALSE,FALSE,within an hour,100%,,0.59,Central Region,Newton
369145,5 mins walk from Newton MRT,,https://a0.muscache.com/pictures/129807ba-7206-4a82-81fa-925c602d47f9.jpg,Newton,1.31129,103.83788,Private room in townhouse,Private room,2,1 shared bath,2,1,70,92,163,4.39,4.31,4.12,4.65,4.67,4.6,4.32,FALSE,FALSE,within an hour,100%,,1.05,Central Region,from Newton
468782,Lovely Ensuite Room in Serangoon,"Our cosy room is suitable for those who are here for work, to study or just on a vacation. A stones throw away are many local food centres, a shopping centre, banks and parks.",https://a0.muscache.com/pictures/5965038/cd9d59b8_original.jpg,Serangoon,1.36288,103.86575,Private room in home,Private room,2,1.5 baths,1,0,60,92,82,4.69,4.62,4.49,4.83,4.88,4.56,4.6,FALSE,FALSE,within an hour,100%,100%,0.53,North-East Region,Lovely Ensuite Room in Serangoon
654191,Partial-Ensuite bedroom + Living room @ Farrer Park,"This Room's features include:<br />+ Personal LIVING-room space with FullSize Fridge<br />+ Lockable BED-room & Fully Private, Aircon, <br />+ Private shower cubicle / wash basin<br />+ Queenbed, study table + chair, TV<br />+ Basic Bedsheet + Towel<br />+ Free wifi access (1gbps)<br />+ WC outside room",https://a0.muscache.com/pictures/5a9ac542-6884-4e82-b655-7e3f4e920c72.jpg,Kallang,1.31221,103.85832,Private room in rental unit,Private room,1,1 private bath,1,1,61,92,3,3,3.67,3.33,3.67,4,3.67,2.33,TRUE,FALSE,within a day,86%,100%,0.02,Central Region,PartialEnsuite bedroomLiving room farrerpark
747813,Fantastic Serviced Apartment in the Singapore CBD,"Fantastic central serviced apartment available in the heart of Singapore's central business district, Nearby Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fibre broadband wifi-internet.",https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,Downtown Core,1.27663,103.84498,Private room in condo,Private room,4,1 shared bath,1,1,119,92,68,4.63,4.67,4.57,4.7,4.82,4.91,4.5,TRUE,FALSE,a few days or more,0%,,0.46,Central Region,Fantastic Serviced Apartment in the Singapore CBD
747816,Fantastic Serviced Apartment in the Singapore CBD,"Fantastic central serviced apartment available in the heart of Singapore's central business district, directly above Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fiber broadband wifi-internet.",https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,Downtown Core,1.27585,103.84597,Private room in condo,Private room,4,1 shared bath,1,1,119,92,25,4.56,4.44,4.32,4.76,4.88,4.96,4.28,TRUE,FALSE,a few days or more,0%,,0.17,Central Region,Fantastic Serviced Apartment in the Singapore CBD
765579,Chinatown@Doorstep: *Queenbed Rm 89C (Not Tourist),"This Room's features include:<br />- Lockable Room & Fully Private (no sharing with strangers)<br />- Airconditioned (control via your own remote)<br />- Queen-size bed, wardrobe & study desk <br />- Bedsheet / Towel<br />- Unlimited wireless internet 1gpbs<br />- Access to 2 bathrooms shared with 2 others housemates",https://a0.muscache.com/pictures/38529362-1d8e-4ed5-a13e-4fd7a46ebee2.jpg,Outram,1.2841,103.84253,Private room in rental unit,Private room,1,2 shared baths,1,1,49,92,2,4,3,3,4,4.5,4,3,TRUE,FALSE,within a day,86%,100%,0.01,Central Region,Outram private room
815685,Awesome Room in the City! Near Orchard Rd!,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, great environment, and great host!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br /><br />Near Queensway, Alexandra, NUS, NUH.",https://a0.muscache.com/pictures/miso/Hosting-815685/original/b5f3f806-287e-4ec8-9b28-2d3213ac819c.png,Bukit Merah,1.29065,103.80941,Private room in rental unit,Private room,1,2 shared baths,1,1,55,180,16,4.13,3.88,4.25,4.25,4.44,4.25,3.88,TRUE,FALSE,within an hour,100%,99%,0.11,Central Region,Awesome Room in the City
833289,Warm hospitality Italian style,"Very stylish apartment in a Condominium with a nice garden, swimming pool, gym, ping pong, tennis and squash court. <br /><br />Cozy apartment artistically decorated with a pleasant blend of antique and modern design, ad art pieces from all over the world.",https://a0.muscache.com/pictures/13687ee2-8ef6-4c5f-aa1c-da3211e49016.jpg,Bukit Merah,1.27716,103.82299,Private room in condo,Private room,2,1 private bath,1,2,150,730,2,5,5,5,5,5,5,5,FALSE,FALSE,,,,0.02,Central Region,Warm hospitality Italian style
